Filename,Description
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3723.png,a photography of a cup of coffee sitting in a glass container
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3865.png,a photography of a bakery with a display of baked goods
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4111.png,a photography of two men sitting at a table with plates of food
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3911.png,a photography of a restaurant with a table and chairs and a chalkboard
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3722.png,a photography of a glass box with a piece of food inside of it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3867.png,a photography of a bakery display with a variety of pastries
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3866.png,a photography of a bakery with a counter and shelves of food
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3709.png,a photography of a bakery with a lot of pastries in the window
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4062.png,a photography of a bridge with a bunch of shoes on it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4088.png,a photography of a group of people taking a picture in front of a church
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3849.png,a photography of a table with baskets of food on it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4316.png,a photography of a man and a woman standing in a greenhouse
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3754.png,a photography of a display case with a few chairs and a table
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3740.png,a photography of a room with a lot of shelves and chairs
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4403.png,a photography of a bagel and a cup of tea on a counter
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4199.png,a photography of two people walking down a street in front of a building
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3741.png,a photography of a room with a blue chair and a blue chair
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3743.png,a photography of a room with a shelf filled with chairs and a couch
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3757.png,a photography of a room with a lot of shelves and a lot of items
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3970.png,a photography of a person holding a piece of bread in their hand
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4206.png,a photography of a mirror with a wooden frame and a wooden case
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3838.png,a photography of a red bus parked in front of a building
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4171.png,a photography of a museum with a large display of statues
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3742.png,a photography of a room with a table and a shelf with bottles of liquid
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3746.png,a photography of a room with a shelf with various chairs and vases
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4174.png,a photography of a box on a table with a pink background
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4376.png,a photography of a street with a clock tower in the distance
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4176.png,a photography of a wall with a bunch of paintings on it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3744.png,a photography of a display case with red chairs and a red chair
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4344.png,a photography of a man sitting on a bench in a greenhouse
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3826.png,a photography of a piece of toast with a piece of jam on it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3832.png,a photography of a farmers market with a variety of vegetables
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3833.png,a photography of a cart with cheeses and other foods on it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4231.png,a photography of a room with a piano and a piano stand
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3951.png,a photography of a group of people standing on a street
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3831.png,a photography of a bakery with a white truck parked in front of it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3825.png,a photography of a loaf of bread on a cutting board with a knife
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3824.png,a photography of a loaf of bread on a cutting board with a knife
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4385.png,a photography of a man sitting at a table with plates of food
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4226.png,a photography of a saxophone and a saxophone stand in a glass case
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3767.png,a photography of a group of men standing next to each other
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3834.png,a photography of a bakery counter with a variety of pastries
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4196.png,a photography of a person holding a sandwich with a bite taken out of it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3835.png,a photography of a display case filled with lots of cheese
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4209.png,a photography of a cello and a cello bass in a glass case
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4157.png,a photography of a sculpture of a boat in a body of water
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3822.png,a photography of a pizza with mushrooms and ham on a pan
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4383.png,a photography of a table with plates of food and glasses of water
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4208.png,a photography of three wooden instruments on display in a glass case
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3925.png,a photography of a plate of food with pasta and meat
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3851.png,a photography of a table with flowers and plants on it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3850.png,a photography of a display case filled with lots of cheese
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4291.png,a photography of a cobblestone street with a building in the background
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3918.png,a photography of a table with a bowl of soup and a spoon
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4091.png,a photography of a building with a clock on the side of it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3853.png,a photography of a table with a plate of food and a cup of coffee
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3927.png,a photography of a plate of food with a side of mashed potatoes
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3738.png,a photography of a room with a bunch of chairs and a banana
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3923.png,a photography of a plate of salad on a table with a fork and glass of water
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4321.png,a photography of a pond with a bridge and a bridge in the middle
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3856.png,a photography of a display case filled with lots of different types of chocolate
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4320.png,a photography of three people walking down a walkway in a greenhouse
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3739.png,a photography of a room with orange furniture and a glass wall
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3908.png,a photography of a street with a tree and a building
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_4097.png,a photography of a building with a clock on the top of it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3897.png,a photography of a clock tower with a red door and a sign that says john foh
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3854.png,a photography of a table with a variety of desserts on it
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3855.png,a photography of a bakery with a variety of pastries on display
/Users/gonzalomf_12/Documents/HackUPC/Hackupc24_inter/PngRealSet/IMG_3896.png,a photography of a church with a clock tower and a tree
